date,open,high,low,close,volume
7/15/91,14.5073,14.5612,14.4708,14.4708,3411200
7/16/91,14.5073,14.5073,13.9969,14.0873,8803200
7/17/91,14.0334,14.1238,14.0144,14.0334,6188800
7/18/91,14.0873,14.3425,13.9415,14.325,9436800
7/19/91,14.5802,14.707,14.3615,14.6531,10291600
7/22/91,14.726,14.8893,14.707,14.8718,7309600
7/23/91,14.9811,15.0176,14.6706,14.6706,5252800
7/24/91,14.6895,14.7799,14.5802,14.6895,4326400
7/25/91,14.7624,14.8164,14.6531,14.6531,3378000
7/26/91,14.6706,14.726,14.5977,14.6531,2560800
7/29/91,14.6531,14.7799,14.6341,14.7799,3324400
7/30/91,14.8353,14.8718,14.6341,14.8164,4320400
7/31/91,14.8528,14.8893,14.7435,14.7624,3488400
8/1/91,14.726,14.8353,14.6895,14.7624,3612000
8/2/91,14.7989,14.8164,14.6166,14.6341,3568800
8/5/91,14.6341,14.7624,14.6341,14.726,4984800
8/6/91,14.7928,14.8666,14.6999,14.8105,5603600
8/7/91,14.8105,14.8297,14.6084,14.6084,4641200
8/8/91,14.6261,14.719,14.6084,14.6453,4236800
8/9/91,14.6453,14.6999,14.5715,14.5892,3362000
8/12/91,14.5892,14.6821,14.5523,14.5523,3134000
8/13/91,14.6084,14.7367,14.5154,14.6084,5090800
8/14/91,14.663,14.663,14.5154,14.5346,4486000
8/15/91,14.5346,14.6084,14.4785,14.5154,3213200
8/16/91,14.5154,14.5523,14.2395,14.2395,6723600
8/19/91,13.7599,14.1096,13.5755,14.0181,12080400
8/20/91,14.2026,14.2026,14.0358,14.1288,6522800
8/21/91,14.1834,14.2203,13.8706,14.1096,11312400
8/22/91,14.1096,14.2203,13.8883,13.9252,8662000
8/23/91,13.9252,14.1834,13.9252,13.9989,6816400
8/26/91,14.0358,14.1096,13.9812,14.0358,3581200
8/27/91,14.055,14.1096,13.9621,14.055,5034400
8/28/91,14.0358,14.055,13.9075,13.9443,6466800
8/29/91,13.9812,14.1465,13.8706,14.0919,8977200
8/30/91,14.1288,14.331,14.1288,14.2941,5368400
9/3/91,14.4239,14.5892,14.4047,14.4608,6633600
9/4/91,14.5154,14.6453,14.4047,14.5523,6405600
9/5/91,14.5523,14.6261,14.4047,14.4977,3978000
9/6/91,14.4977,14.6999,14.4239,14.663,5224400
9/9/91,14.6821,14.9212,14.6821,14.9035,4731600
9/10/91,14.9404,14.9404,14.6453,14.6999,6790400
9/11/91,14.7559,14.9581,14.6999,14.9581,6351600
9/12/91,15.1056,15.3462,15.0879,15.3462,8956400
9/13/91,15.2901,15.3093,14.9773,15.1794,7562000
9/16/91,15.1794,15.4008,15.1794,15.2901,7364400
9/17/91,15.2532,15.4745,15.2355,15.4745,5577200
9/18/91,15.4199,15.5675,15.4199,15.5483,5658400
9/19/91,15.5483,15.6959,15.4568,15.4745,6975200
9/20/91,15.4745,15.5114,15.3462,15.3831,7539200
9/23/91,15.3831,15.4376,15.3639,15.4376,3130400
9/24/91,15.4745,15.6221,15.3639,15.6221,5996800
9/25/91,15.5852,15.6044,15.4568,15.4937,3209200
9/26/91,15.4199,15.6044,15.3831,15.4745,3786800
9/27/91,15.4376,15.5483,15.051,15.0879,6364400
9/30/91,15.1056,15.3831,14.9404,15.2901,4936400
10/1/91,15.2901,15.3093,15.1248,15.1425,2809200
10/2/91,15.1248,15.1248,14.8666,14.9212,4178800
10/3/91,14.8843,14.9035,14.6084,14.6084,5180000
10/4/91,14.6261,14.6999,14.4785,14.4977,5280800
10/7/91,14.5154,14.663,14.4977,14.5892,5110400
10/8/91,14.6261,14.663,14.4047,14.4608,5755200
10/9/91,14.4239,14.4977,14.2764,14.3501,7638000
10/10/91,14.4047,14.7367,14.3132,14.719,5668800
10/11/91,14.7559,14.8297,14.6821,14.7367,3574400
10/14/91,14.6453,14.995,14.6261,14.9404,3164000
10/15/91,15.0319,15.4568,14.719,15.3831,12134400
10/16/91,15.3093,15.3093,14.9581,14.995,8103600
10/17/91,14.9035,14.9404,14.663,14.7367,6527600
10/18/91,14.7559,14.8105,14.6999,14.8105,5262800
10/21/91,14.7928,14.9035,14.7367,14.7928,3765200
10/22/91,14.7928,14.8297,14.5346,14.5346,4621600
10/23/91,14.5523,14.5715,14.3501,14.5346,6324000
10/24/91,14.4608,14.6261,14.4047,14.4977,3886400
10/25/91,14.4977,14.5523,14.387,14.4608,3980400
10/28/91,14.4977,14.5523,14.4608,14.4977,3588800
10/29/91,14.5154,14.663,14.387,14.5892,4721600
10/30/91,14.6084,14.7928,14.5892,14.7928,6108400
10/31/91,14.7736,14.8105,14.4977,14.4977,4530000
11/1/91,14.5154,14.663,14.4239,14.5154,8552000
11/4/91,14.4918,14.6038,14.435,14.4918,4563600
11/5/91,14.5291,14.6038,14.435,14.435,4686400
11/6/91,14.4544,14.5291,14.3977,14.435,4031200
11/7/91,14.6965,14.94,14.6785,14.9206,7596800
11/8/91,15.0894,15.1447,14.94,14.9773,5540000
11/11/91,14.9579,15.052,14.9206,14.9579,2657200
11/12/91,14.9773,15.0326,14.8085,14.8459,4600000
11/13/91,14.7338,14.8085,14.6965,14.7712,3690400
11/14/91,14.8085,14.9579,14.6965,14.94,4410000
11/15/91,14.94,14.9579,14.3424,14.3797,7829200
11/18/91,14.4724,14.6038,14.3797,14.5291,6846000
11/19/91,14.435,14.4544,14.193,14.4171,8497200
